date,stage,activity,start,end,notes
2026-05-18,Set-up,Structuring repo for work,14:08,14:12,Building a folder system for following my planned segmentation workflow
2026-05-18,Set-up,Setting up venv with requirements,14:13,14:26,Creating a venv so we can work inside it preloaded with some segmentation and analytics tools as well as writing the first README
2026-05-18,Set-up,Documentation and guidance,14:30,14:34,Specification for AGENTS.md
2026-05-18,Stage 1,Data Audit,14:35,14:50,Writing stage specification for data audit then running agent
2026-05-18,Stage 1,Data Audit,15:25,15:37,Reviewing output of data audit and making decisions for next steps (then generating marketing_campaign_processed.csv)
2026-05-18,Stage 2,Feature Engineering,15:38,15:46,Writing the spec for the feature engineering stage
2026-05-18,Stage 3,EDA,15:50,15:59,Reviewing output of feature engineering stage, then writing the spec for the EDA stage
2026-05-18,Stage 3,EDA,16:00,16:12,Reviewing output of EDA stage
2026-05-18,Stage 4,Clustering,16:12,16:17,Preparing spec for Kmeans vs GMM stage
2026-05-18,Stage 5,Segment Profiling,16:25,16:39,After running clustering I reviewed outputs and prepared for segment profiling and am now running segment profiling
2026-05-19,Presentation,Design stuff,15:04,15:16,Looking at M&C Saatchi Fluency design and mocking up a simple slide template to use for presenting results
2026-05-19,Stage 6,Recommendations and final report,15:16,15:41,Reviewing segmentation results and making decisions about final report and preparing the markdown spec for the final run of analysis
2026-05-19,Stage 6,Recommendations and final report,16:01,16:06,Reading the final report and deciding how to tackle the presentation
2026-05-19,Stage 6,Recommendations and final report,16:06,16:10,Creating report structure (presentation) after reviewing analysis outputs
2026-05-19,Stage 6,Final presentation,16:25,16:54,Creating the final presentation - 'client ready' with seven clear slides, and a couple at the end for interview purposes
