segment_name,kpi_name,baseline_value,target_guidance,data_status,notes
Segment 0: High-Value Premium Buyers,response_rate,23.5%,>= 24.0%,available_in_dataset,Directly observed from stage-05 response summary.
Segment 0: High-Value Premium Buyers,average_total_spend,1243.1,>= 1250.0,available_in_dataset,Use as core commercial value KPI.
Segment 0: High-Value Premium Buyers,average_spend_per_purchase,66.3,>= 67.0,available_in_dataset,Useful for testing premium or bundle positioning impact.
Segment 0: High-Value Premium Buyers,purchase_count,19.2,>= 19.5,available_in_dataset,Proxy for frequency and repeat engagement.
Segment 0: High-Value Premium Buyers,channel_mix,Web 26.6% | Catalog 29.4% | Store 44.0%,Catalog + Store >= 72%; Web 24-30%,available_in_dataset,Channel shares indicate preferred route to market by segment.
Segment 0: High-Value Premium Buyers,product_category_spend,Wine 545.6 | Meat 407.1 | Gold 72.9,Wine >= 550.0 and Meat >= 410.0,available_in_dataset,Category mix helps align assortment and messaging strategy.
Segment 0: High-Value Premium Buyers,deal_purchase_share,8.5%,<= 10.0%,available_in_dataset,Tracks discount dependency and margin risk.
Segment 0: High-Value Premium Buyers,campaign_acceptance_rate,0.56,>= 0.60,available_in_dataset,Average accepted campaigns per customer from historical data.
Segment 0: High-Value Premium Buyers,complaint_rate,0.85%,<= 1.0%,available_in_dataset,Safeguard to prevent value strategy from harming customer experience.
Segment 0: High-Value Premium Buyers,recency,49.9 days,<= 50.0 days,available_in_dataset,Lower recency indicates more recent purchasing activity.
Segment 0: High-Value Premium Buyers,incremental_spend_uplift_vs_holdout,Not available in historical snapshot,>= +5% incremental spend vs holdout with no deal-share increase above 1pp,provisional_requires_more_data,Requires controlled holdout test to isolate causal uplift.
Segment 0: High-Value Premium Buyers,net_margin_per_discounted_order,Not available (cost/margin inputs absent),Maintain positive net margin per discounted order,provisional_requires_more_data,"Requires COGS, discount depth, and contribution margin data."
Segment 1: Value-Conscious Family Shoppers,response_rate,12.0%,>= 13.0%,available_in_dataset,Directly observed from stage-05 response summary.
